latitude,longitude
40.15449167,-105.12883667
40.154515,-105.12878333
40.15453833,-105.12869667
40.154535,-105.12864833
40.154525,-105.12862167
40.154505,-105.1286
40.15447167,-105.12858833
40.154455,-105.12858667
40.15443667,-105.128575
40.15440333,-105.12859
40.15437333,-105.128655
40.15439333,-105.12875833
40.15451833,-105.12894
40.15455833,-105.12906
40.15455,-105.12915167
40.15446167,-105.12916833
40.15439667,-105.12914167
40.154385,-105.129075
40.15439167,-105.12894833
